Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,Time(s)
31.94125822,0.224914722,-0.21667497,-0.604248508,,31.95
32.00512128,0.214233562,-0.222168138,-0.596313932,,32.01
32.06724508,0.230407891,-0.21667497,-0.599060516,,32.07
32.12944007,0.211486978,-0.21667497,-0.596313932,,32.13
32.19141505,0.230407891,-0.214233562,-0.593567347,,32.2
32.25426816,0.227661307,-0.20599381,-0.604248508,,32.26
32.31709915,0.222168138,-0.219421554,-0.609741676,,32.32
32.37806546,0.222168138,-0.214233562,-0.606995092,,32.38
32.44119536,0.21667497,-0.20599381,-0.599060516,,32.45
32.50314436,0.230407891,-0.21667497,-0.609741676,,32.51
32.56537142,0.214233562,-0.214233562,-0.599060516,,32.57
32.62895578,0.219421554,-0.211486978,-0.596313932,,32.63
32.69009849,0.224914722,-0.214233562,-0.620728013,,32.7
32.75210329,0.227661307,-0.208740394,-0.590820763,,32.76
32.81618317,0.230407891,-0.227661307,-0.599060516,,32.82
32.87609013,0.222168138,-0.203247225,-0.609741676,,32.88
32.94025083,0.211486978,-0.211486978,-0.601501924,,32.95
33.00210329,0.203247225,-0.214233562,-0.604248508,,33.01
33.06309334,0.222168138,-0.21667497,-0.599060516,,33.07
33.12617031,0.214233562,-0.211486978,-0.601501924,,33.13
33.19032043,0.219421554,-0.222168138,-0.606995092,,33.2
33.25151926,0.230407891,-0.222168138,-0.609741676,,33.26
33.31416326,0.21667497,-0.211486978,-0.620728013,,33.32
33.37512155,0.20599381,-0.203247225,-0.606995092,,33.38
33.4381315,0.200500641,-0.214233562,-0.623169421,,33.44
33.50255391,0.222168138,-0.219421554,-0.604248508,,33.51
33.56313182,0.208740394,-0.20599381,-0.599060516,,33.57
33.62511674,0.227661307,-0.214233562,-0.61248826,,33.63
33.68740507,0.230407891,-0.21667497,-0.601501924,,33.69
33.75029025,0.227661307,-0.224914722,-0.604248508,,33.76
33.81212123,0.211486978,-0.211486978,-0.604248508,,33.82
33.87527774,0.21667497,-0.222168138,-0.606995092,,33.88
33.93728512,0.211486978,-0.219421554,-0.604248508,,33.94
34.00066518,0.214233562,-0.227661307,-0.609741676,,34.01
34.06213983,0.222168138,-0.211486978,-0.615234844,,34.07
34.12522739,0.208740394,-0.21667497,-0.601501924,,34.13
34.18825947,0.203247225,-0.211486978,-0.601501924,,34.19
34.2492107,0.214233562,-0.235901059,-0.604248508,,34.25
34.31117253,0.214233562,-0.208740394,-0.606995092,,34.32
34.37521777,0.21667497,-0.219421554,-0.596313932,,34.38
34.43645765,0.214233562,-0.214233562,-0.588074179,,34.44
34.49939544,0.224914722,-0.219421554,-0.596313932,,34.5
34.56243489,0.211486978,-0.219421554,-0.601501924,,34.57
34.62426555,0.224914722,-0.21667497,-0.61248826,,34.63
34.68734894,0.227661307,-0.214233562,-0.606995092,,34.69
34.75020238,0.208740394,-0.214233562,-0.599060516,,34.76
34.81028894,0.200500641,-0.21667497,-0.601501924,,34.82
34.87342269,0.219421554,-0.21667497,-0.601501924,,34.88
34.93745895,0.208740394,-0.227661307,-0.61248826,,34.94
34.99926875,0.222168138,-0.21667497,-0.601501924,,35
35.0621796,0.214233562,-0.235901059,-0.609741676,,35.07
35.12319177,0.21667497,-0.211486978,-0.615234844,,35.13
35.18526842,0.211486978,-0.224914722,-0.606995092,,35.19
35.24822064,0.222168138,-0.214233562,-0.609741676,,35.25
35.31217318,0.203247225,-0.214233562,-0.601501924,,35.32
35.37325078,0.211486978,-0.20599381,-0.590820763,,35.38
35.43439573,0.222168138,-0.219421554,-0.604248508,,35.44
35.49733224,0.230407891,-0.21667497,-0.609741676,,35.5
35.55931299,0.214233562,-0.222168138,-0.609741676,,35.56
35.62336849,0.214233562,-0.224914722,-0.615234844,,35.63
35.68435404,0.222168138,-0.21667497,-0.620728013,,35.69
35.748203,0.197754057,-0.219421554,-0.606995092,,35.75
35.81026297,0.222168138,-0.208740394,-0.615234844,,35.82
35.87226072,0.211486978,-0.214233562,-0.590820763,,35.88
35.93532839,0.224914722,-0.211486978,-0.617981429,,35.94
35.99646597,0.208740394,-0.21667497,-0.604248508,,36
36.05823055,0.219421554,-0.208740394,-0.615234844,,36.06
36.12321647,0.222168138,-0.21667497,-0.601501924,,36.13
36.18423569,0.222168138,-0.21667497,-0.61248826,,36.19
36.24623922,0.219421554,-0.214233562,-0.615234844,,36.25
36.3104198,0.230407891,-0.20599381,-0.61248826,,36.32
36.37023023,0.200500641,-0.211486978,-0.617981429,,36.38
36.43424115,0.224914722,-0.214233562,-0.601501924,,36.44
36.49592555,0.211486978,-0.222168138,-0.617981429,,36.5
36.56024693,0.208740394,-0.227661307,-0.601501924,,36.57
36.62044575,0.224914722,-0.219421554,-0.601501924,,36.63
36.68236396,0.21667497,-0.20599381,-0.620728013,,36.69
36.74566288,0.214233562,-0.219421554,-0.617981429,,36.75
36.80823055,0.227661307,-0.222168138,-0.606995092,,36.81
36.87035852,0.21667497,-0.21667497,-0.609741676,,36.88
36.93226646,0.208740394,-0.214233562,-0.604248508,,36.94
36.99428795,0.214233562,-0.211486978,-0.61248826,,37
37.05829085,0.211486978,-0.208740394,-0.604248508,,37.06
37.11947364,0.227661307,-0.224914722,-0.61248826,,37.12
37.18226422,0.233154475,-0.219421554,-0.599060516,,37.19
37.24568244,0.227661307,-0.230407891,-0.609741676,,37.25
37.3072918,0.233154475,-0.214233562,-0.596313932,,37.31
37.37133287,0.224914722,-0.219421554,-0.604248508,,37.38
37.43166832,0.230407891,-0.211486978,-0.617981429,,37.44
37.4942918,0.21667497,-0.211486978,-0.590820763,,37.5
37.5565458,0.211486978,-0.21667497,-0.606995092,,37.56
37.62034954,0.219421554,-0.219421554,-0.596313932,,37.63
37.68150507,0.230407891,-0.208740394,-0.604248508,,37.69
37.74586205,0.219421554,-0.21667497,-0.601501924,,37.75
37.80642104,0.214233562,-0.214233562,-0.604248508,,37.81
37.87044383,0.227661307,-0.224914722,-0.604248508,,37.88
37.93227544,0.219421554,-0.21667497,-0.604248508,,37.94
37.99338191,0.214233562,-0.200500641,-0.61248826,,38
38.05603136,0.21667497,-0.20599381,-0.623169421,,38.06
38.11847812,0.200500641,-0.227661307,-0.604248508,,38.12
38.18233542,0.219421554,-0.21667497,-0.601501924,,38.19
